,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
31,659.99066,661.6995,664.36224,664.9226,666.91833,672.99426,676.21155,678.3519,679.6146,680.4146,680.44006,679.5898,680.3237,680.8873,679.8857,677.29974,672.9944,668.6782,663.8286,662.26215,663.38336,664.5786,665.0812,665.58417,666.2354,667.5507,668.7774,670.3958,672.7817,675.74866,679.1964,682.11224,684.34534,685.7694,686.8269,688.112,689.4959,690.84216,691.8491,692.67346,693.31537,693.7577,694.11176,694.1748,694.0961,693.9367,693.6825,693.6123,693.71436,693.7743,693.79926,693.71765,693.366
32,661.2881,663.1047,664.8784,665.59534,669.17865,674.0088,677.0891,678.9735,679.90875,680.2701,679.5859,679.7805,680.67755,680.5208,679.1923,676.0186,671.4431,667.1213,662.6915,662.0329,663.1215,664.16693,664.909,665.74146,666.5316,667.6281,668.74243,670.0454,672.2229,675.3579,678.9494,682.4899,685.17,686.89026,687.971,688.85175,689.9436,690.8496,691.5796,692.1153,692.6121,692.96423,693.27856,693.3795,693.2526,693.0904,692.90546,692.8077,692.8786,692.92926,692.9433,692.75653,692.27594
33,662.9363,664.6302,665.34406,667.354,671.35474,674.7249,677.5508,679.11975,679.85065,679.7632,679.0279,679.7787,680.6176,680.1733,678.55865,674.6867,670.0369,666.0322,662.0134,661.6761,662.4331,663.6367,664.5972,665.86,666.87726,667.8908,668.9497,670.1861,672.2303,675.2875,678.7768,682.2105,685.0319,686.8989,688.0252,688.81134,689.724,690.37555,691.00433,691.41925,691.9473,692.25397,692.4768,692.5337,692.4538,692.255,692.0525,692.02966,692.08234,692.10297,692.0313,691.7429,691.14197
34,664.68225,665.7069,666.1237,669.4861,672.8926,675.5992,677.9708,679.1979,679.64935,678.9571,679.0132,680.0009,680.2986,679.8627,677.9416,673.4496,668.6254,665.0542,661.6704,661.28723,661.87714,663.0145,664.2469,665.9135,667.00085,667.976,669.0245,670.30005,672.415,675.3126,678.71204,681.7674,684.2347,685.87195,687.02625,688.069,688.97974,689.6142,690.24316,690.65283,691.101,691.43976,691.6157,691.6633,691.63306,691.3871,691.1768,691.223,691.29694,691.27045,691.0642,690.71326,690.0444
35,665.96564,666.1599,667.54755,671.2903,674.08405,676.4888,678.34393,679.23157,679.1852,678.3966,679.1756,680.2178,680.0379,679.53656,677.442,672.7838,667.77295,664.2342,661.492,661.06757,661.5465,662.3698,663.8791,665.6516,666.5962,667.57623,668.6453,670.0421,672.43207,675.2817,678.4329,681.06415,682.86444,683.9515,685.0808,686.5114,687.83795,688.7699,689.40674,689.8537,690.1286,690.4608,690.6545,690.68,690.66437,690.4367,690.3426,690.3898,690.4568,690.35626,690.05066,689.5673,688.8122
36,666.47375,666.55707,669.36804,672.64355,675.0956,676.88513,678.2878,678.918,678.39996,678.45026,679.3681,679.8007,679.7175,679.22485,677.37463,673.1207,668.1622,664.1836,661.3353,660.6849,661.09863,661.78424,663.3864,665.03906,665.9244,666.9986,667.943,669.56464,672.1791,675.0735,677.7069,679.6036,680.83325,681.5286,682.6171,684.37836,686.31946,687.7341,688.4829,688.9833,689.2832,689.5072,689.7016,689.59863,689.57007,689.446,689.4943,689.5491,689.54846,689.37274,689.0356,688.3141,687.4383
37,666.84076,667.60815,670.66974,673.28906,675.57825,676.7254,677.66833,678.1864,677.76984,678.40784,679.57947,679.46606,679.3797,679.0164,677.63055,673.88776,669.20966,665.15607,661.1825,659.78815,660.5529,661.22955,662.57776,664.47345,665.6799,666.5763,667.37335,669.1223,671.6374,674.2316,676.3477,677.7582,678.515,679.4703,680.8755,682.7166,684.84955,686.3726,687.4662,688.12823,688.3879,688.59644,688.75104,688.72345,688.5941,688.51215,688.57153,688.6219,688.61163,688.4308,688.0056,687.33374,686.4251
38,668.3201,669.3415,670.95374,673.5776,675.77563,676.9447,677.134,677.5433,677.93787,678.69434,679.218,679.2495,679.14514,678.71063,677.512,674.574,670.1547,665.4414,661.49524,659.82086,660.08,660.5501,661.6266,663.5433,665.16223,665.7674,666.74036,668.38824,670.76013,672.9824,674.61926,675.9769,676.7284,677.5766,679.4316,681.4234,683.8734,685.4724,686.4881,687.0716,687.4918,687.68054,687.7662,687.73773,687.66376,687.66754,687.7132,687.7661,687.7118,687.42426,686.8662,686.15924,685.1205
39,669.9627,671.04266,672.58545,674.2962,675.917,676.9464,677.05396,677.5029,677.8335,679.02454,678.9217,678.92395,678.83923,678.3945,677.4306,675.0758,670.7345,665.76624,661.43396,660.06573,659.4576,660.30554,661.1595,662.5273,664.69745,665.65875,666.5374,667.9186,669.7645,671.8187,673.19714,674.27594,675.44806,676.8213,678.743,680.8411,683.1215,684.4375,685.4952,686.0925,686.57513,686.62164,686.7813,686.72784,686.58936,686.69666,686.78955,686.7358,686.6781,686.2962,685.52716,684.66345,683.66614
40,672.1882,673.7489,674.7343,675.48553,676.3365,677.19037,677.0504,677.5876,678.22125,678.7592,678.6568,678.5154,678.4849,678.11725,677.17194,675.06805,671.0994,666.2041,661.9036,659.7968,658.77435,659.84814,660.8722,662.2393,664.0967,665.2259,666.3788,667.8791,669.60443,671.1265,672.62036,674.1084,675.5255,677.11383,678.87115,680.87683,682.6822,683.5089,684.2889,685.0988,685.61554,685.75244,685.7143,685.6817,685.6789,685.86426,685.8458,685.7484,685.6071,685.16815,684.4017,683.4376,682.1471
