,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
10,489.9927,490.12726,489.82056,489.4985,489.58423,489.3217,489.2103,489.2,489.2139,489.25122,489.11615,488.8788,488.93607,489.22617,489.40414,489.59695,489.28888,489.0065,488.7912,488.7849,488.8748,488.90097,489.04504,488.87686,488.73706,488.45813,488.51846,488.5,488.5776,488.65585,488.61304,488.6668,488.71606,488.77478,488.80954,488.88983,489.0769,489.1137,489.1134
11,489.73578,489.83148,489.6783,489.63327,489.60382,489.37357,489.03568,488.9654,488.92062,488.6443,488.5949,489.0964,488.99548,488.93933,488.28366,488.25607,488.37354,488.22592,488.1759,488.1775,488.20215,488.03864,487.90692,487.93805,488.15726,488.4053,488.44492,488.5257,488.5948,488.61313,488.6,488.69687,488.7762,488.7918,488.854,488.95233,489.13934,489.1098,489.16797
12,489.6204,489.5467,489.4239,489.42264,489.33887,489.19336,488.98236,488.69205,487.75946,487.1568,488.47122,488.58615,488.56937,488.43387,488.17145,488.03912,488.08362,488,488.05002,488.06677,488.00964,487.38184,486.74155,486.9756,487.17245,488.37927,488.542,488.59976,488.66608,488.69525,488.66632,488.45645,488.33975,488.3403,488.3187,488.43695,489.12195,489.12122,489.18973
13,489.2138,489.13388,489.0784,489.06967,489.032,488.98514,488.93967,488.75226,487.77835,487.4782,488.16794,488.1,488.1428,488.2,488.2,488.15945,488.05136,488,488.03265,488.0889,488.01437,487.71628,487.44714,487.54913,487.60736,488.26178,488.30542,488.28088,488.33252,488.38666,488.36755,488.20016,488.06656,488.08115,488.06805,488.08173,489.08093,489.12552,489.14056
14,488.93198,488.9,488.9,488.9,488.9,488.9,488.91074,488.87125,488.17856,488.1268,488.16785,488.1,488.14288,488.2,488.2,488.14108,488.0357,488,488,488.08035,488.0143,488,488,488,488.03546,488.17694,488.07156,488,488.03915,488.1,488.1,488.1,488.03943,488.06592,488.1,488.02338,489.06573,489.12534,489.1
15,488.90836,488.9,488.9,488.9,488.9,488.9,488.91083,488.87054,488.18628,488.15335,488.1794,488.13602,488.16345,488.2,488.2,488.141,488.03564,488,488,488.08044,488.01422,488,488,488.00436,488.0644,488.16876,488.0466,488,488.03925,488.1,488.08276,488.08463,488.06018,488.05505,488.0902,488.0233,488.73172,489.16293,489.07672
16,488.8766,488.9,488.9,488.9,488.9,488.9,488.91092,488.86566,488.17422,488.18124,488.2,488.2,488.2,488.2,488.2408,488.15695,488.0266,488,488,488.06046,488.01062,488,488,488.00946,488.09338,488.13477,488,488.00824,488.05402,488.1,488.05,488.0554,488.1,488.0339,488.07144,488.04135,488.06702,488.94696,489.02936
17,488.9,488.9,488.9,488.9,488.9,488.9,488.91098,488.85532,488.11533,488.13406,488.18976,488.1943,488.19147,488.2,488.3695,488.21008,488,488,488,488,488,488,488,488,488.0205,488.09064,488.00992,488.02936,488.08627,488.08636,488.04312,488.05548,488.1,488.05148,488.08856,488.1132,488.03085,488.0244,489.0143
18,488.9,488.904,488.90112,488.90442,488.9005,488.9,488.91107,488.86847,488.2,488.17285,488.1325,488.16214,488.14322,488.2,488.41568,488.24435,488,488,488,488,488,488,488,487.99582,488.0091,488.17554,488.07904,488.01,488.0098,488.00955,488.01086,488.06598,488.11243,488.1825,488.21674,488.21625,488.13345,488.20074,488.93677
19,488.9,488.97006,488.91977,488.9801,488.90955,488.9,488.91116,488.86777,488.2,488.17276,488.1326,488.16208,488.1433,488.2,488.41605,488.24384,488,488,488,488,488,488,488,487.89264,487.33356,488.14908,488.28387,488.2786,488.27838,488.27814,488.32446,488.37436,488.49023,488.68964,488.7539,488.75342,488.67056,488.65945,488.72278
20,488.9,488.97388,488.92075,488.9846,488.98535,488.9085,488.948,488.573,488.13452,488.1956,488.1617,488.14194,488.19073,488.2,488.28098,488.1419,488.05396,488.0832,488.02036,488,488,488.07428,487.97827,487.71304,487.9955,487.94308,487.99393,488.0245,488.1013,488.37402,488.47333,488.57358,488.668,488.70593,488.7769,488.8,488.78488,488.70993,488.77386
21,488.99734,488.99323,488.9793,488.93347,488.92606,488.9069,488.92957,488.34503,488.16312,488.12665,488.11798,488.11023,488.15866,488.2,488.1356,488.0329,488.01764,488.02728,488.00668,488.05875,488.00992,488.02634,488.07355,488.10864,488.0861,487.91705,487.98013,487.99036,487.98804,488.23254,488.5,488.6116,488.74374,488.72394,488.77185,488.8,488.8,488.77463,488.73325
22,488.90796,488.84238,488.9104,488.90558,488.95847,489.1431,489.01736,488.1677,488.12885,488.1173,488.16284,488.1388,488.11627,488.16803,488.09146,488.03723,488.02185,488,488.04706,488.04248,488.00516,488.1162,488.21735,488.16644,488.0859,488.01773,488,488,487.98462,488.0662,488.34857,488.6118,488.76123,488.7334,488.72812,488.73917,488.78946,488.8,488.7623
