,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16,180.4376,180.47525,180.74445,180.1297,179.72984,179.48233,179.35846,179.36241,179.32451,179.3,179.2396,179.21585,179.26103,179.25775,179.18985,179.28444,179.32712,179.47375,179.46558,179.34564,179.11751,178.55464,176.8119,175.90094,175.79019,175.65988,175.50792,175.29704,175.15445,175.03227,174.93875,174.81898
17,180.1264,180.1225,180.09456,179.95786,179.78607,179.65181,179.55603,179.56187,179.42131,179.31236,179.25606,179.28418,179.2422,179.15736,179.14012,179.29169,179.38177,179.38686,179.38693,179.35005,179.18132,178.81679,177.3768,176.08372,175.93134,175.72499,175.60965,175.39091,175.24387,175.06458,175.0121,174.88348
18,180.12703,180.13132,180.162,179.97719,179.87178,179.76639,179.66098,179.59846,179.54848,179.39319,179.36513,179.40314,179.33162,179.37753,179.3976,179.39964,179.30916,179.30005,179.29962,179.27861,179.22647,179.17781,178.0432,176.38503,176.0655,175.90599,175.7885,175.51442,175.33752,175.1603,175.10947,175.27614
19,180.08531,180.08563,180.08794,179.97708,179.87167,179.76628,179.66087,179.5586,179.50356,179.49207,179.48991,179.49268,179.42104,179.39827,179.32387,179.38869,179.38942,179.3013,179.28658,179.22476,179.27066,179.19812,178.40636,176.7729,176.32841,176.17027,175.96735,175.69316,175.63936,175.58447,175.62823,175.66164
20,180.07019,180.07169,180.08238,179.97697,179.87157,179.73819,179.61058,179.62904,179.58237,179.45433,179.41771,179.36333,179.32294,179.31795,179.37076,179.32585,179.241,179.2185,179.21565,179.2037,179.23457,179.25626,178.70331,177.33594,176.48167,176.4505,176.37639,175.9825,175.80016,175.70663,175.76024,175.71214
21,180.02774,180.03128,180.05656,179.84886,179.79916,179.6844,179.54323,179.46838,179.38374,179.26869,179.25636,179.28539,179.3,179.35524,179.39503,179.31201,179.27042,179.20085,179.2,179.2,179.20741,179.22005,178.94362,177.9814,177.04335,176.6332,176.25623,175.96895,175.83116,175.77795,175.79395,175.71495
22,179.98068,179.9825,179.99553,179.78561,179.70952,179.60419,179.48373,179.37236,179.29979,179.22723,179.23747,179.24628,179.23882,179.31618,179.33897,179.30466,179.24138,179.20042,179.20905,179.24832,179.21558,179.24165,179.12766,178.49838,177.1938,176.36093,176.12692,176.03458,175.95088,175.91968,175.87186,175.77452
23,179.9516,179.95312,179.96408,179.77664,179.686,179.61711,179.51163,179.40614,179.32533,179.27264,179.28094,179.26724,179.25072,179.24965,179.24944,179.20499,179.19995,179.2,179.19992,179.19974,179.21289,179.23438,179.2,178.92601,177.43362,176.14716,176.0711,176.05048,176.01564,175.96323,175.9102,175.85669
24,179.91724,179.91974,179.93764,179.81749,179.74089,179.69254,179.56032,179.45491,179.32901,179.28215,179.27522,179.23276,179.24852,179.21346,179.16675,179.10701,179.15645,179.16014,179.14508,179.08084,179.17065,179.1876,179.17505,179.15785,177.85162,176.29695,176.08078,176.01416,176,175.95444,175.93881,175.90565
25,179.88066,179.88235,179.89444,179.83871,179.74799,179.70087,179.52994,179.43825,179.31401,179.26923,179.23859,179.13318,179.15071,179.19334,179.11697,179.1,179.1,179.1,179.08476,179.02066,179.11847,179.14862,179.12617,179.14104,178.20244,176.66164,176.12962,176.05438,176.00876,176.02124,176.00565,175.93867
26,179.83362,179.8375,179.86526,179.75735,179.63745,179.61797,179.46799,179.41078,179.34927,179.28903,179.23097,179.13307,179.1,179.17773,179.1328,179.11908,179.10193,179.1188,179.10349,179.03563,179.1,179.1,179.1,179.10782,178.68051,177.1809,176.1754,176.1,176.04314,176.07933,176.0198,176
27,179.79039,179.79135,179.79823,179.7689,179.67355,179.57478,179.5056,179.45877,179.35834,179.25285,179.1868,179.11815,179.09116,179.16225,179.18262,179.19041,179.10161,179.19017,179.17166,179.10829,179.1039,179.09187,179.08896,179.12654,179.1401,178.07626,176.5527,176.10275,176.1,176.09439,176.02419,176.00105
28,179.7893,179.78838,179.78163,179.70068,179.6997,179.6642,179.55919,179.49945,179.44775,179.34227,179.05515,178.9697,179.00162,179.00302,179.00356,179.09084,179.01205,179.09166,179.03438,179.19781,179.14615,179.00233,178.96611,178.94759,179.0039,178.5584,177.00981,176.13478,176.1,176.0272,176.07857,176.01373
29,179.82198,179.81903,179.7979,179.74602,179.61145,179.57669,179.50694,179.25812,179.00964,178.99094,179.08163,179.05368,179,179,179,179.01096,178.91843,178.93262,178.99022,178.95636,178.99557,178.9128,178.94057,178.99257,179,178.89732,177.4246,176.28427,176.12624,176.0899,176.09738,176.01407
