,0,1,2,3,4,5,6,7,8,9,10
32,167.34766,167.38737,167.67142,167.52188,167.63203,167.40315,167.31561,167.42003,167.45956,167.53235,167.53836
33,166.8295,166.84866,166.98567,166.88052,167.07271,167.29741,167.30142,167.28265,167.22864,167.30685,167.34685
34,166.7843,166.76842,166.65489,166.94402,167.19212,167.2817,167.24765,167.27026,167.17438,167.13188,167.1836
35,167.00789,166.99821,166.92897,167.22224,167.24432,167.0498,167.23785,167.50273,167.327,167.1,167.15717
36,167.05342,167.05865,167.09613,167.1662,167.0956,167.08768,167.11685,167.54582,167.64462,167.1,167.16718
37,166.95741,166.96333,167.00566,167.08673,167.06958,167.02818,167.02133,167.40796,167.66757,167.11707,167.22058
38,166.9659,166.95824,166.90346,166.92528,167.0024,167.00099,166.93158,167.06107,167.41003,167.339,167.29689
39,167.25003,167.22374,167.0357,166.81627,166.80557,166.74121,166.7315,166.78406,167.52809,167.89313,167.50813
40,167.54512,167.53831,167.48965,166.6481,166.62296,166.59496,166.72734,166.75435,167.08519,167.62859,167.60602
41,167.65515,167.64926,167.60712,166.83574,166.7054,166.7124,166.90833,166.86159,166.81657,167.15549,167.46223
42,167.74876,167.74387,167.70886,167.2671,166.63885,166.83463,166.89044,166.80713,166.66937,166.70758,167.19066
43,167.80798,167.8062,167.79338,167.4993,166.5601,166.80469,166.87247,166.74202,166.55827,166.52257,167.04295
44,167.85056,167.84734,167.82433,167.57909,166.75923,166.65675,166.89575,166.80576,166.75345,166.983,167.59093
45,167.84837,167.85223,167.87987,167.80144,167.18495,166.62032,166.79294,166.8487,167.40541,168.09401,168.74706
46,167.80824,167.80885,167.81316,167.87169,167.60309,166.98636,166.85703,166.77895,167.9342,168.99477,169.01468
47,167.84503,167.83984,167.80276,167.8228,167.84784,167.35365,166.63689,166.74329,167.83757,168.98296,168.99896
48,167.9079,167.90599,167.89229,167.89383,167.84761,167.35243,166.63701,166.78137,167.37303,168.28976,168.95576
49,168.39975,168.34155,167.92535,168.11473,168.32013,168.366,168.58138,169.08727,169.30379,169.386,169.79773
50,169.61731,169.533,168.93013,169.19078,169.6031,169.87549,170.19618,170.4855,170.6689,170.78615,171.08405
